"route","owner","viewports","execution","reason"
"/config/trailers","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/trip-expense","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/trucks","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/config/trucks/:truckId/owners","S02_ADMIN","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/config/weight-pricing-tiers","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/customers","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/customers/:id","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/customers/:id/billing/new","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/dashboard","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/debt","S04_ACCOUNTANT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/debt/:id","S04_ACCOUNTANT","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/debt/:id/billing/new","S04_ACCOUNTANT","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/dispatch","S03_MANAGER","1440x900|768x1024|390x844","FAIL","UNEXPECTED_APP_SETTINGS_403"
"/drivers","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/expenses","S04_ACCOUNTANT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/expenses/:id/edit","S04_ACCOUNTANT","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/expenses/new","S04_ACCOUNTANT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/finance","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/fleet","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/fleet/:id/tires","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/fleet/trailers/:id/tires","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-advances","S06_FORWARDER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-earnings","S05_DRIVER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-forwarder-trips","S06_FORWARDER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-forwarder-trips/:id","S06_FORWARDER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-payslips","S05_DRIVER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-penalties","S05_DRIVER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-settlements","S06_FORWARDER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-settlements/:id","S06_FORWARDER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-settlements/new","S06_FORWARDER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-trips","S05_DRIVER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-trips/:id","S05_DRIVER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/my-trips/two-orders","S05_DRIVER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/payables","S04_ACCOUNTANT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/payables/:id","S04_ACCOUNTANT","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/penalties","S04_ACCOUNTANT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/portal/debit-notes","S07_CUSTOMER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/portal/shipments","S07_CUSTOMER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/portal/shipments/:id","S07_CUSTOMER","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/profit","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/routes","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/salary","S04_ACCOUNTANT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/settlements/:id","S03_MANAGER","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/shipments","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/shipments/:id","S03_MANAGER","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/suppliers","S04_ACCOUNTANT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/suppliers/:id","S04_ACCOUNTANT","1440x900|768x1024|390x844","BLOCKED","FIXTURE"
"/trailers","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/trips","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/trips/:id","S03_MANAGER","1440x900|768x1024|390x844","FAIL","UNEXPECTED_APP_SETTINGS_403"
"/trips/:id/edit","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/trips/new","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/trucks","S03_MANAGER","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"/users","S02_ADMIN","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
"any URL while signed out","S01_PREFLIGHT","1440x900|768x1024|390x844","PASS","RESPONSIVE_ROUTE_SWEEP"
