"id","kind","module","title","owner","execution","reason","delivery","authority"
"M04-HT-02","MODULE_HT","M04","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M04-HT-03","MODULE_HT","M04","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M04-HT-04","MODULE_HT","M04","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M04-HT-05","MODULE_HT","M04","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M04-HT-06","MODULE_HT","M04","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M04-HT-07","MODULE_HT","M04","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M04-HT-08","MODULE_HT","M04","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M04-HT-09","MODULE_HT","M04","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M04-HT-10","MODULE_HT","M04","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M05-HT-01","MODULE_HT","M05","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M05-HT-02","MODULE_HT","M05","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M05-HT-03","MODULE_HT","M05","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M05-HT-04","MODULE_HT","M05","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M05-HT-05","MODULE_HT","M05","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M05-HT-06","MODULE_HT","M05","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M05-HT-07","MODULE_HT","M05","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M05-HT-08","MODULE_HT","M05","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M05-HT-09","MODULE_HT","M05","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M05-HT-10","MODULE_HT","M05","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M06-HT-01","MODULE_HT","M06","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M06-HT-02","MODULE_HT","M06","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M06-HT-03","MODULE_HT","M06","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M06-HT-04","MODULE_HT","M06","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M06-HT-05","MODULE_HT","M06","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M06-HT-06","MODULE_HT","M06","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M06-HT-07","MODULE_HT","M06","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M06-HT-08","MODULE_HT","M06","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M06-HT-09","MODULE_HT","M06","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M06-HT-10","MODULE_HT","M06","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M07-HT-01","MODULE_HT","M07","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M07-HT-02","MODULE_HT","M07","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M07-HT-03","MODULE_HT","M07","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M07-HT-04","MODULE_HT","M07","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M07-HT-05","MODULE_HT","M07","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M07-HT-06","MODULE_HT","M07","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M07-HT-07","MODULE_HT","M07","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M07-HT-08","MODULE_HT","M07","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M07-HT-09","MODULE_HT","M07","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M07-HT-10","MODULE_HT","M07","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M08-HT-01","MODULE_HT","M08","Expanded module acceptance criterion","S05_DRIVER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M08-HT-02","MODULE_HT","M08","Expanded module acceptance criterion","S05_DRIVER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M08-HT-03","MODULE_HT","M08","Expanded module acceptance criterion","S05_DRIVER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M08-HT-04","MODULE_HT","M08","Expanded module acceptance criterion","S05_DRIVER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M08-HT-05","MODULE_HT","M08","Expanded module acceptance criterion","S05_DRIVER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M08-HT-06","MODULE_HT","M08","Expanded module acceptance criterion","S05_DRIVER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M08-HT-07","MODULE_HT","M08","Expanded module acceptance criterion","S05_DRIVER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M08-HT-08","MODULE_HT","M08","Expanded module acceptance criterion","S05_DRIVER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M08-HT-09","MODULE_HT","M08","Expanded module acceptance criterion","S05_DRIVER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M08-HT-10","MODULE_HT","M08","Expanded module acceptance criterion","S05_DRIVER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M09-HT-01","MODULE_HT","M09","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M09-HT-02","MODULE_HT","M09","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M09-HT-03","MODULE_HT","M09","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M09-HT-04","MODULE_HT","M09","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M09-HT-05","MODULE_HT","M09","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M09-HT-06","MODULE_HT","M09","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M09-HT-07","MODULE_HT","M09","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M09-HT-08","MODULE_HT","M09","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M09-HT-09","MODULE_HT","M09","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M09-HT-10","MODULE_HT","M09","Expanded module acceptance criterion","S06_FORWARDER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M10-HT-01","MODULE_HT","M10","Expanded module acceptance criterion","S08_CLERK","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M10-HT-02","MODULE_HT","M10","Expanded module acceptance criterion","S08_CLERK","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M10-HT-03","MODULE_HT","M10","Expanded module acceptance criterion","S08_CLERK","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M10-HT-04","MODULE_HT","M10","Expanded module acceptance criterion","S08_CLERK","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M10-HT-05","MODULE_HT","M10","Expanded module acceptance criterion","S08_CLERK","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M10-HT-06","MODULE_HT","M10","Expanded module acceptance criterion","S08_CLERK","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M10-HT-07","MODULE_HT","M10","Expanded module acceptance criterion","S08_CLERK","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M10-HT-08","MODULE_HT","M10","Expanded module acceptance criterion","S08_CLERK","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M10-HT-09","MODULE_HT","M10","Expanded module acceptance criterion","S08_CLERK","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M10-HT-10","MODULE_HT","M10","Expanded module acceptance criterion","S08_CLERK","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M11-HT-01","MODULE_HT","M11","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M11-HT-02","MODULE_HT","M11","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M11-HT-03","MODULE_HT","M11","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M11-HT-04","MODULE_HT","M11","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M11-HT-05","MODULE_HT","M11","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M11-HT-06","MODULE_HT","M11","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M11-HT-07","MODULE_HT","M11","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M11-HT-08","MODULE_HT","M11","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M11-HT-09","MODULE_HT","M11","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M11-HT-10","MODULE_HT","M11","Expanded module acceptance criterion","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M12-HT-01","MODULE_HT","M12","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M12-HT-02","MODULE_HT","M12","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M12-HT-03","MODULE_HT","M12","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M12-HT-04","MODULE_HT","M12","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M12-HT-05","MODULE_HT","M12","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M12-HT-06","MODULE_HT","M12","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M12-HT-07","MODULE_HT","M12","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M12-HT-08","MODULE_HT","M12","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M12-HT-09","MODULE_HT","M12","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"M12-HT-10","MODULE_HT","M12","Expanded module acceptance criterion","S04_ACCOUNTANT","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"Q01","Q_CASE","CROSS","Ngưỡng cảnh báo sớm hạn mức công nợ","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q02","Q_CASE","CROSS","Phê duyệt vượt hạn mức","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q03","Q_CASE","CROSS","Phân bổ thanh toán không chỉ định","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q04","Q_CASE","CROSS","Lịch nhắc thanh toán","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q05","Q_CASE","CROSS","Kênh ưu tiên & retry","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q06","Q_CASE","CROSS","Hóa đơn nhiên liệu nhiều xe","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q07","Q_CASE","CROSS","Một nhà cung cấp nhiều nhóm dịch vụ","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q08","Q_CASE","CROSS","Khách hàng ⇄ nhà cung cấp; đối trừ","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q09","Q_CASE","CROSS","Phạm vi kỳ lương","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q10","Q_CASE","CROSS","Chặn chốt kỳ khi còn lỗi","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q11","Q_CASE","CROSS","Sau chốt: điều chỉnh hoặc mở lại","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q12","Q_CASE","CROSS","Khoản chi hộ không hóa đơn: hạng mục & căn cứ","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q13","Q_CASE","CROSS","Ngưỡng khoản chi hộ","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q14","Q_CASE","CROSS","Quá ngưỡng/thiếu căn cứ","S04_ACCOUNTANT","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q15","Q_CASE","CROSS","Maker/Checker/Approver/Viewer","S09_CROSS_ROLE","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q16","Q_CASE","CROSS","Phạm vi tài khoản khách hàng","S09_CROSS_ROLE","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q17","Q_CASE","CROSS","Nhân viên chứng từ (CLERK)","S09_CROSS_ROLE","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q18","Q_CASE","CROSS","Sửa dữ liệu đã duyệt/chốt","S09_CROSS_ROLE","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q19","Q_CASE","CROSS","Hạn thanh toán vào cuối tuần/lễ","S09_CROSS_ROLE","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q20","Q_CASE","CROSS","Chuyến qua hai kỳ","S09_CROSS_ROLE","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q21","Q_CASE","CROSS","Khóa kỳ","S09_CROSS_ROLE","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q22","Q_CASE","CROSS","Nguồn chân lý & tái tính vs điều chỉnh","S09_CROSS_ROLE","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"Q23","Q_CASE","CROSS","Double-submit, mạng chập, concurrent edit/approve","S09_CROSS_ROLE","NOT_RUN","IMPLEMENTATION_REVIEW","partial","accepted"
"TC-M01-01-01","MODULE_TC","M01","Hiển thị dữ liệu thông thường","S03_MANAGER","PASS","ROLE_ROUTE_VISUAL","verified","pending"
"TC-M01-01-02","MODULE_TC","M01","Không có dữ liệu","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-01-03","MODULE_TC","M01","Trường hợp biên (kỳ ngày/tuần/tháng/quý; dữ liệu đang chạy & đã chốt)","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-01-04","MODULE_TC","M01","Kiểm soát quyền xem","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-01-05","MODULE_TC","M01","Đối chiếu dữ liệu nguồn","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-02-01","MODULE_TC","M01","Hiển thị dữ liệu thông thường","S03_MANAGER","PASS","ROLE_ROUTE_VISUAL","verified","pending"
"TC-M01-02-02","MODULE_TC","M01","Không có dữ liệu","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-02-03","MODULE_TC","M01","Trường hợp biên (khoảng ngày giao nhau 2 tháng; nhiều xe bằng điểm; tuyến không có chuyến)","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-02-04","MODULE_TC","M01","Kiểm soát quyền xem","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-02-05","MODULE_TC","M01","Đối chiếu dữ liệu nguồn","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-03-01","MODULE_TC","M01","Luồng nghiệp vụ thông thường","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-03-02","MODULE_TC","M01","Thiếu hoặc sai dữ liệu","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-03-03","MODULE_TC","M01","Trường hợp ngoại lệ (trùng thời gian xe/lái; thiếu dữ liệu chỉ lưu nháp)","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-03-04","MODULE_TC","M01","Kiểm soát quyền thao tác","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-03-05","MODULE_TC","M01","Gửi lại hoặc thao tác đồng thời","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-03-06","MODULE_TC","M01","Biên: chuyến qua ngày; đổi xe trước giờ chạy; hủy sau khi phát sinh dữ liệu","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-04-01","MODULE_TC","M01","Tính toán thông thường","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-04-02","MODULE_TC","M01","Thiếu hoặc sai dữ liệu — như TC-M01-03-02 pattern.","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-04-03","MODULE_TC","M01","Giá trị biên (giá trị = 0, điều chỉnh âm, chi phí bổ sung sau khi hoàn thành)","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-04-04","MODULE_TC","M01","Thay đổi hoặc ngoại lệ (chưa đủ chi phí → ""Tạm tính""; hủy không tính LN)","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-04-05","MODULE_TC","M01","Tính nhất quán (tính lại cùng dữ liệu không đổi; tải lại sau lưu khớp báo cáo)","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-05-01","MODULE_TC","M01","Luồng nghiệp vụ thông thường","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-05-02","MODULE_TC","M01","Thiếu hoặc sai dữ liệu — bỏ trống chuyến → cảnh báo.","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-05-03","MODULE_TC","M01","Trường hợp ngoại lệ (không hóa đơn → nêu căn cứ; chứng từ trùng → cảnh báo)","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
"TC-M01-05-04","MODULE_TC","M01","Kiểm soát quyền thao tác — `laixe` không vào được `/expenses/new`.","S03_MANAGER","NOT_RUN","NOT_DIRECTLY_EVIDENCED","partial","pending"
